STT,Mã phế thải,Ngày chốt số liệu,Khối lượng vào (kg),Khối lượng ra (kg)
1,N01W3,1/6/2025 12:00:00 AM,481.00,0.00
2,N01W1,1/7/2025 12:00:00 AM,-61.00,0.00
3,N01W1,1/8/2025 12:00:00 AM,480.00,481.00
4,N01W2,1/8/2025 12:00:00 AM,1524.00,0.00
5,N03W5,1/8/2025 12:00:00 AM,0.00,507.00
6,N14W1,1/8/2025 12:00:00 AM,0.00,0.00
7,N01W1,1/9/2025 12:00:00 AM,1267.00,2730.00
8,N01W5,1/9/2025 12:00:00 AM,75.00,0.00
9,N02W3,1/9/2025 12:00:00 AM,0.00,0.00
10,N01W1,1/10/2025 12:00:00 AM,0.00,105.00
11,N01W1,1/11/2025 12:00:00 AM,1050.00,0.00
12,N01W1,1/12/2025 12:00:00 AM,0.00,1057.00
13,N01W1,1/13/2025 12:00:00 AM,1302.00,1161.00
14,N01W2,1/13/2025 12:00:00 AM,637.00,0.00
