STT,Loại hình cân,QR phế thải,Nhà máy - Phòng ban,Tên nhà thầu,Biển số xe,Mã nhóm phế thải,Nhóm phế thải,Mã phế thải,Tên phế thải nội bộ,Tên phế thải ngoại bộ,Tên phế thải tiếng anh,Phương pháp xử lí,Đặc tính,Phân loại,Cột biểu đồ,Phương pháp cân,Số vạch,Hệ số,Số Pallet,KL pallet,KL bao bì,KL/đơn vị,Mã xe đẩy,Trọng lượng xe đẩy,KL Tổng,KL bì,KL phế thải,Tên bản ghi,Thời gian tạo,Người vận hành
1,Output,N03W8MSD,,Matsuda,18EA-9876,N03,Waste Metal,N03W8,Titan drum,Titan drum ,Au-containing waste (Titan Drum) ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,20250412-F2-GIAO-MSD-18EA9876-01,4/12/2025 11:20:07 AM,Ngô Viết Đàn - ID:PA0058,
2,Output,N03W9MSD,,Matsuda,18EA-9876,N03,Waste Metal,N03W9,Nhựa ion,Nhựa trao đổi ion đã bão hòa hay đã qua sử dụng - Hạt nhựa chứa Au,Ionic resin (Gold waste),Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,323.00,20250412-F2-GIAO-MSD-18EA9876-01,4/12/2025 11:16:34 AM,Ngô Viết Đàn - ID:PA0058,
3,Output,S05W1MSD,,Matsuda,18EA-9876,S05,Organic Resin,S05W1,Nhựa chelate chứa Pd,Chất hấp thụ; vất liệu lọc; giẻ lau; vải bảo vệ thải bị nhiễm thành phần nguy hại - Hạt nhựa chứa Palladium,Chelate resin contain Pd,Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Special_Controlled_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,20250412-F2-GIAO-MSD-18EA9876-01,4/12/2025 11:16:06 AM,Ngô Viết Đàn - ID:PA0058,
4,Input,N15W2F5UVL,F5-UV5,,,N15,Other Waste,N15W2,Đồng hai mặt,Copper sheet double side,Copper sheet - singer side; Copper sheet B; Copper sheet - double side,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,0.00,0.00,WAREXE01,62.50,180.00,62.50,117.50,20250412-F1-NHAN,4/12/2025 10:30:17 AM,Ngô Viết Đàn - ID:PA0058,
5,Output,S13W11MSD,,Matsuda,18EA-9876,S13,Other Hazardous Waste,S13W11,Filter chứa Pd,Chất hấp thụ; vật liệu lọc; giẻ lau; vải bảo vệ thải bị nhiễm thành phần nguy hại - Lõi lọc chứa Palladium,Pd - Containing Filter  ,Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Special_Controlled_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,5.00,20250411-F1-GIAO-MSD-18EA9876-01,4/11/2025 1:38:29 PM,Ngô Viết Đàn - ID:PA0058,
6,Output,S05W1MSD,,Matsuda,18EA-9876,S05,Organic Resin,S05W1,Nhựa chelate chứa Pd,Chất hấp thụ; vất liệu lọc; giẻ lau; vải bảo vệ thải bị nhiễm thành phần nguy hại - Hạt nhựa chứa Palladium,Chelate resin contain Pd,Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Special_Controlled_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,6.00,20250411-F1-GIAO-MSD-18EA9876-01,4/11/2025 1:37:56 PM,Ngô Viết Đàn - ID:PA0058,
7,Output,N02W4TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W4,Giấy CL,CL paper scrap (Phế liệu giấy loại 1),Paper from CL press process,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,97.20,45.00,52.20,20250408-F1-GIAO-TL-17M76429-01,4/8/2025 1:52:40 PM,Ngô Viết Đàn - ID:PA0058,
8,Output,N1521TT,,Thuận Thành,18AE-1234,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,30.90,0.00,30.90,20250408-F1-GIAO-TT-18AE1234-01,4/8/2025 1:07:30 PM,Ngô Viết Đàn - ID:PA0058,
9,Output,N1521TT,,Thuận Thành,18AE-1234,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,28.60,0.00,28.60,20250408-F1-GIAO-TT-18AE1234-01,4/8/2025 1:07:23 PM,Ngô Viết Đàn - ID:PA0058,
10,Output,N1521TT,,Thuận Thành,18AE-1234,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,46.80,0.00,46.80,20250408-F1-GIAO-TT-18AE1234-01,4/8/2025 1:07:17 PM,Ngô Viết Đàn - ID:PA0058,
11,Output,N1521TT,,Thuận Thành,18AE-1234,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250408-F1-GIAO-TT-18AE1234-01,4/8/2025 1:06:35 PM,Ngô Viết Đàn - ID:PA0058,
12,Output,N15W2MSD,,Matsuda,18EA-9876,N15,Other Waste,N15W7,Đồng một mặt,Copper sheet single side,Copper sheet - singer side; Copper sheet B; Copper sheet - double side,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Bao bì,0,0.00,0,0.00,1.50,0.00,,0.00,180.00,1.50,178.50,20250408-F1-GIAO-MSD-18EA9876-01,4/8/2025 1:04:42 PM,Ngô Viết Đàn - ID:PA0058,
13,Output,N15W2MSD,,Matsuda,18EA-9876,N15,Other Waste,N15W7,Đồng một mặt,Copper sheet single side,Copper sheet - singer side; Copper sheet B; Copper sheet - double side,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Bao bì,0,0.00,0,0.00,1.50,0.00,,0.00,180.00,1.50,178.50,20250408-F1-GIAO-MSD-18EA9876-01,4/8/2025 1:04:29 PM,Ngô Viết Đàn - ID:PA0058,
14,Output,N03W12MSD,,Matsuda,18EA-9876,N03,Waste Metal,N03W12,Ag grain,Ag grain,Ag grain,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250408-F1-GIAO-MSD-18EA9876-01,4/8/2025 11:22:31 AM,Ngô Viết Đàn - ID:PA0058,
15,Output,S13W12MSD,,Matsuda,18EA-9876,S13,Other Hazardous Waste,S13W12,FPC chứa linh kiện,Sau SMT (Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các chi tiết có các thành phần nguy hại vượt ngưỡng CTNH)),FPC waste contain electronic componenets,Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,1.50,0.00,,0.00,180.00,1.50,178.50,20250408-F1-GIAO-MSD-18EA9876-01,4/8/2025 11:20:12 AM,Ngô Viết Đàn - ID:PA0058,
16,Output,S13W12MSD,,Matsuda,18EA-9876,S13,Other Hazardous Waste,S13W12,FPC chứa linh kiện,Sau SMT (Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các chi tiết có các thành phần nguy hại vượt ngưỡng CTNH)),FPC waste contain electronic componenets,Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,1.50,0.00,,0.00,180.00,1.50,178.50,20250408-F1-GIAO-MSD-18EA9876-01,4/8/2025 11:19:18 AM,Ngô Viết Đàn - ID:PA0058,
17,Output,S13W12MSD,,Matsuda,18EA-9876,S13,Other Hazardous Waste,S13W12,FPC chứa linh kiện,Sau SMT (Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các chi tiết có các thành phần nguy hại vượt ngưỡng CTNH)),FPC waste contain electronic componenets,Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,1.50,0.00,,0.00,180.00,1.50,178.50,20250408-F1-GIAO-MSD-18EA9876-01,4/8/2025 11:15:29 AM,Ngô Viết Đàn - ID:PA0058,
18,Output,S13W12MSD,,Matsuda,18EA-9876,S13,Other Hazardous Waste,S13W12,FPC chứa linh kiện,Sau SMT (Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các chi tiết có các thành phần nguy hại vượt ngưỡng CTNH)),FPC waste contain electronic componenets,Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,1.50,0.00,,0.00,180.00,1.50,178.50,20250408-F1-GIAO-MSD-18EA9876-01,4/8/2025 11:12:52 AM,Ngô Viết Đàn - ID:PA0058,
19,Output,S13W11MSD,,Matsuda,18EA-9876,S13,Other Hazardous Waste,S13W11,Filter chứa Pd,Chất hấp thụ; vật liệu lọc; giẻ lau; vải bảo vệ thải bị nhiễm thành phần nguy hại - Lõi lọc chứa Palladium,Pd - Containing Filter  ,Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Special_Controlled_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,6.40,20250408-F1-GIAO-MSD-18EA9876-01,4/8/2025 8:32:09 AM,Ngô Viết Đàn - ID:PA0058,
20,Output,S13W10MSD,,Matsuda,18EA-9876,S13,Other Hazardous Waste,S13W10,Than hoạt tính chứa Pd,Than hoạt tính chứa Palladium,Pd - Activated carbon ,Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Special_Controlled_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,13.60,20250408-F1-GIAO-MSD-18EA9876-01,4/8/2025 8:32:00 AM,Ngô Viết Đàn - ID:PA0058,
21,Output,S13W9MSD,,Matsuda,18EA-9876,S13,Other Hazardous Waste,S13W9,Filter chứa vàng,Chất hấp thụ; vật liệu lọc; giẻ lau; vải bảo vệ thải bị nhiễm thành phần nguy hại - Lõi lọc chứa Au,Au - Containing Filter  ,Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Special_Controlled_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,13.50,20250408-F1-GIAO-MSD-18EA9876-01,4/8/2025 8:31:17 AM,Ngô Viết Đàn - ID:PA0058,
22,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.20,0.00,65.20,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 4:06:43 PM,Ngô Viết Đàn - ID:PA0058,
23,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.70,0.00,65.70,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 4:06:36 PM,Ngô Viết Đàn - ID:PA0058,
24,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,66.00,0.00,66.00,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 4:06:32 PM,Ngô Viết Đàn - ID:PA0058,
25,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.90,0.00,65.90,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 4:06:26 PM,Ngô Viết Đàn - ID:PA0058,
26,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.80,0.00,65.80,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 4:06:21 PM,Ngô Viết Đàn - ID:PA0058,
27,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.50,0.00,65.50,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 4:05:20 PM,Ngô Viết Đàn - ID:PA0058,
28,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.20,0.00,65.20,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 4:01:41 PM,Ngô Viết Đàn - ID:PA0058,
29,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.10,0.00,65.10,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 4:01:09 PM,Ngô Viết Đàn - ID:PA0058,
30,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.60,0.00,65.60,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 4:01:06 PM,Ngô Viết Đàn - ID:PA0058,
31,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,66.00,0.00,66.00,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 4:00:45 PM,Ngô Viết Đàn - ID:PA0058,
32,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.50,0.00,65.50,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 3:56:30 PM,Ngô Viết Đàn - ID:PA0058,
33,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.10,0.00,65.10,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 3:56:12 PM,Ngô Viết Đàn - ID:PA0058,
34,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.90,0.00,65.90,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 3:56:08 PM,Ngô Viết Đàn - ID:PA0058,
35,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.50,0.00,65.50,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 3:56:05 PM,Ngô Viết Đàn - ID:PA0058,
36,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.90,0.00,65.90,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 3:56:03 PM,Ngô Viết Đàn - ID:PA0058,
