STT,Mã QR phế thải,Tên phế thải nhập vào,Tên phế thải xuất ra,Phòng ban,Kiểu cân,Số vạch,Số pallet,KL tổng(kg),KL bao bì(kg),KL phế thải(kg),Thời gian cân,ID người vận hành
1,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:37:33 PM,
2,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:37:26 PM,
3,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:37:15 PM,
4,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:37:08 PM,
5,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:37:03 PM,
6,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:37:00 PM,
7,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:36:57 PM,
8,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:36:54 PM,
9,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:36:51 PM,
10,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:36:48 PM,
11,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:36:45 PM,
12,S08W4TTP,Axit tẩy thải (Cucl2; pH<2),Dung dịch (CuCl2; pH<2),,Bao bì,0,0,180.00,60.00,120.00,3/26/2025 4:36:39 PM,
13,S13W1TTP,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,,Bao bì,0,0,180.00,2.00,178.00,3/26/2025 12:41:56 PM,
14,S13W1TTP,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,,Bao bì,0,0,180.00,2.00,178.00,3/26/2025 12:41:52 PM,
15,S13W1TTP,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,,Bao bì,0,0,180.00,2.00,178.00,3/26/2025 12:41:49 PM,
16,S13W1TTP,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,,Bao bì,0,0,180.00,2.00,178.00,3/26/2025 12:41:46 PM,
17,S13W1TTP,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,,Bao bì,0,0,180.00,2.00,178.00,3/26/2025 12:41:38 PM,
